"b0","b1","b","theta2"
-1.03432684110302,1.03065049138593,3.18111148967862,4.21561906552281
-1.21346789399905,1.08592364934927,3.76450065614467,4.96640639555264
-1.2046490796141,1.04306532701701,2.51972817715968,6.0836366905974
-1.06600054083275,0.998688313908613,2.05316583206636,8.52814825625319
-0.980561165332854,1.012328404479,2.8412520434243,6.89619918537778
-1.16449731851585,1.0101729878775,2.28921598017629,7.62072822278382
-1.18243137459862,1.00417825993751,1.29483781081216,6.40418244434324
-1.0942428110966,0.98445977791778,2.63959945997296,6.35456912798099
-1.18611199657756,1.05956222224372,1.69382414206751,2.96396234999141
-1.24499124733196,1.06898166007384,2.71741810664065,6.85207804006497
-1.30752539906614,1.06324073997528,1.39866280126465,4.12449369809945
-1.17062216770472,1.03685440089081,1.7740524407111,7.19188189712557
-1.20615161780039,1.04070386851392,1.71210089013282,9.42385965589573
-1.14775436443419,1.07058258312344,2.46517569734694,5.96385489701512
-1.31090740360957,1.12102438777511,2.7724509934371,5.41868172856943
-1.08878869423836,1.00845643677146,2.3387814548076,6.38765468814414
-1.03535859009764,0.951197942980077,2.27551534028958,6.18309961908803
-1.34871900291731,1.08596666960559,2.12087493640025,5.48481212698062
-1.27562100805305,1.06920080408597,2.75372401829555,6.31135569766683
-1.28819875632696,1.07678555987176,2.61602915917131,4.63077521254761
-1.25809726792402,1.03162012741931,1.60007541389347,9.83097139723927
-1.26649886934173,1.0437390818676,1.29451780792524,6.11194984697069
-1.25026559107361,1.09902050301018,2.89988931728422,7.50610842619054
-1.1651094767832,1.03529394462769,2.40570512475826,7.22648094161741
-1.30648094854746,1.13498943215089,2.50264300508898,4.51949014024373
-1.30299829829051,1.09371058930192,2.07373693721299,5.10053592822484
-1.18744218967081,0.994842427279587,1.81935271193177,7.52882126757918
-0.989881250105914,1.0006546170404,2.83935926807093,5.68893534017063
-1.13475502713275,1.01502539655713,2.15481546257927,7.2939737207317
-1.01359973678729,1.02705728865625,3.8157218201133,6.42204706953046
-1.1430939302827,1.0687980150776,3.08380676201973,5.52615741737955
-1.08356859642948,0.987625522986634,2.21066465352513,8.22482200931991
-1.25154459161099,1.04526085974703,1.26191005576864,6.56524843987193
-1.15090672078426,1.01738325272956,2.31544395705587,6.7255687941673
-1.1030812458578,1.06051800286184,2.87069775978328,6.12114114097197
-1.16190923323201,0.994240726547147,1.26087294450496,6.76156588938897
-1.12740313206088,0.978131716811852,2.23290746055799,7.52718143665963
-0.822987632891345,0.909920848550185,1.89219588961545,3.2181749878661
-0.58164506026617,0.874651524505381,2.03748375484738,4.66098528810724
-0.466405710660487,0.778204436675296,1.66438152475042,2.69567013750258
-0.657490187048202,0.85835000849858,2.84534306688114,7.68005257249359
-0.600738567131212,0.796134809957416,1.25783979464136,2.69988279304395
-0.513650126967415,0.843146850181596,3.14215376992882,1.95248050176782
-0.696824848522745,0.864541448624272,2.08284155158664,3.31185742767656
-0.748414937266225,0.933859409305604,2.7486004756088,4.39945789314918
-0.906008470567605,0.920167201739883,1.75673879005736,2.70158620581427
-0.831766236180198,0.968601667342675,3.98984822505179,4.32767610511318
-0.854305319267419,0.993379005327663,4.27698619457956,4.0802201796323
-0.895110513980445,0.914457087877361,2.255167362045,5.14794211672415
-0.869609433361056,0.940986710917565,2.44438237931488,5.50974529334086
-0.87529456558609,0.888606109212224,1.4935528549921,3.30339758874013
-1.25284398953534,1.04740847615555,2.01684701504724,4.19936412733322
-1.29670610015451,1.06721458342101,1.7658884742618,6.23630104097817
-1.22664476702586,1.00476655425119,1.58041442860501,4.66586253142117
-0.879266795590527,0.931183646311321,2.28384331044636,7.42788261611559
-0.833439704099143,0.93991386582644,2.28846976091214,2.66314540245578
-0.926383540218298,0.920005709474489,2.37753222580041,5.86709887232187
-0.930491636209299,0.957094462984056,2.99930296393095,5.68902948698872
-0.941179884852286,0.989380240987156,3.6994712379256,4.46884663566063
-0.80889244368808,0.934188767391375,1.71982454491128,2.51150839815584
-1.24656266601632,1.10129334849819,2.93505953723201,10.1782337172874
-1.45809213966895,1.13874897752153,0.666524149236382,2.23103938937075
-1.1530168235039,1.0151075630696,1.50699650749214,5.62156547975454
-1.04116639521499,0.981737398000264,2.32289067304107,5.67387708866337
-0.963533693616649,1.00424540714085,4.1444210436202,7.41103792114172
-1.18246696060259,1.04748203579239,2.24598027004548,4.56313587701008
-1.22973146438486,1.04625044550963,1.21854773916481,8.38932339391632
-1.33654911852747,1.11440184969551,1.79364028819925,8.2213534845482
-1.58920917730156,1.24772004174968,2.96415535265557,7.8017769013958
-1.5746414117964,1.09057698395811,0.695713896335983,4.03113678771318
-1.42538039253532,1.13106137563105,2.78742203514972,4.01520510560898
-1.50521050912248,1.13213940328326,1.81686749707845,5.92864845262442
-1.38923890446154,1.15429631904668,3.1975424094039,8.62388995556548
-1.48707204463967,1.11096283276574,0.761961225550375,4.86126693445386
